"customer_id","name","total_spent","customer_category"
217,"Neha","14613.00","Gold"
89,"Ishaan","14562.17","Gold"
202,"Aditya","12977.44","Gold"
184,"Saanvi","11668.56","Gold"
227,"Yash","11394.12","Gold"
86,"Shreya","11386.89","Gold"
203,"Tanya","11123.64","Gold"
129,"Swara","10638.20","Gold"
247,"Meera","10481.38","Gold"
34,"Shreya","10393.23","Gold"
192,"Komal","10155.21","Gold"
276,"Anjali","9597.42","Gold"
294,"Aditya","9562.13","Gold"
104,"Meera","9463.47","Gold"
68,"Karthik","9456.26","Gold"
154,"Aniket","9348.74","Gold"
127,"Tanya","8961.59","Gold"
133,"Rohan","8885.92","Gold"
49,"Aniket","8836.45","Gold"
282,"Yash","8700.65","Gold"
51,"Sai","8602.87","Gold"
136,"Sara","8551.73","Gold"
214,"Diya","8430.13","Gold"
77,"Vivaan","8413.68","Gold"
231,"Myra","8383.30","Gold"
83,"Sara","8297.19","Gold"
168,"Riya","8292.32","Gold"
190,"Kavya","8212.98","Gold"
199,"Aditya","8119.68","Gold"
137,"Vivaan","8073.60","Gold"
220,"Saanvi","8010.37","Gold"
148,"Simran","7939.97","Gold"
195,"Anika","7936.61","Gold"
20,"Yash","7926.99","Gold"
235,"Harsh","7919.26","Gold"
204,"Neha","7754.80","Gold"
167,"Anika","7753.94","Gold"
88,"Pari","7743.73","Gold"
6,"Sara","7671.58","Gold"
71,"Aanya","7608.46","Gold"
170,"Ira","7562.65","Gold"
267,"Riya","7549.41","Gold"
243,"Raj","7415.03","Gold"
197,"Komal","7391.35","Gold"
106,"Ishaan","7338.89","Gold"
142,"Reyansh","7269.76","Gold"
28,"Varun","7233.86","Gold"
140,"Sara","7212.63","Gold"
31,"Saanvi","7211.02","Gold"
82,"Payal","7109.72","Gold"
23,"Bhavya","7060.92","Gold"
123,"Ishaan","7033.64","Gold"
244,"Raj","7030.54","Gold"
292,"Pooja","6998.22","Gold"
212,"Ishaan","6996.72","Gold"
229,"Reyansh","6949.27","Gold"
290,"Shreya","6912.76","Gold"
147,"Varun","6807.69","Gold"
45,"Aditya","6802.00","Gold"
160,"Anjali","6777.25","Gold"
43,"Vihaan","6768.70","Gold"
274,"Ishita","6688.74","Gold"
182,"Amit","6611.32","Gold"
183,"Sneha","6597.86","Gold"
185,"Aanya","6582.68","Gold"
207,"Ira","6573.03","Gold"
36,"Siddharth","6522.98","Gold"
208,"Krishna","6501.81","Gold"
155,"Kavya","6396.12","Gold"
16,"Nikhil","6311.47","Gold"
218,"Anika","6246.92","Gold"
118,"Manav","6152.79","Gold"
299,"Tanya","6147.33","Gold"
85,"Payal","6116.95","Gold"
172,"Sara","6041.82","Gold"
75,"Varun","6040.33","Gold"
40,"Bhavya","6037.81","Gold"
206,"Tanya","6021.90","Gold"
152,"Komal","5951.32","Gold"
29,"Radhika","5943.84","Gold"
300,"Ira","5928.97","Gold"
39,"Rohan","5792.52","Gold"
149,"Simran","5727.15","Gold"
87,"Kunal","5617.11","Gold"
281,"Riya","5547.10","Gold"
58,"Sara","5500.46","Gold"
177,"Simran","5497.98","Gold"
125,"Varun","5489.81","Gold"
62,"Vivaan","5473.03","Gold"
265,"Shaurya","5470.95","Gold"
42,"Yash","5460.51","Gold"
260,"Ayaan","5458.31","Gold"
254,"Diya","5404.30","Gold"
198,"Sneha","5398.61","Gold"
27,"Pari","5287.93","Gold"
163,"Swara","5275.69","Gold"
228,"Arnav","5250.38","Gold"
242,"Aanya","5231.51","Gold"
